pcode,LOC_NUM_PLCS_VIST,LOC_TIME_NONE,LOC_TIME_WORK,LOC_TIME_EATING,LOC_TIME_SOCIAL,LOC_TIME_OTHERS,LOC_TIME_GYM,LOC_TIME_HOME,APP_DUR_WORK_sum,APP_DUR_WORK_count,APP_DUR_SOCIAL_sum,APP_DUR_SOCIAL_count,APP_DUR_sum,APP_DUR_count,keyevent_DIST_sum,keyevent_DIST_count,keyevent_TIME_sum,keyevent_TIME_count,keyevent_SOCIAL_DIST_sum,keyevent_SOCIAL_DIST_count,keyevent_ENTER_DIST_sum,keyevent_ENTER_DIST_count,keyevent_INFO_DIST_sum,keyevent_INFO_DIST_count,keyevent_HEALTH_DIST_sum,keyevent_HEALTH_DIST_count,keyevent_WORK_DIST_sum,keyevent_WORK_DIST_count,keyevent_SOCIAL_TIME_sum,keyevent_SOCIAL_TIME_count,keyevent_ENTER_TIME_sum,keyevent_ENTER_TIME_count,keyevent_INFO_TIME_sum,keyevent_INFO_TIME_count,keyevent_HEALTH_TIME_sum,keyevent_HEALTH_TIME_count,keyevent_WORK_TIME_sum,keyevent_WORK_TIME_count,SCR#entropy,SCR#state_changes,SCR#SCREEN_OFF_count,SCR#SCREEN_ON_count,SCR#unknown_count,SCR#dur_SCREEN_OFF,SCR#dur_SCREEN_ON,SCR#dur_unknown,APP_DUR_ENTER_sum,APP_DUR_ENTER_count,APP_DUR_INFO_sum,APP_DUR_INFO_count,APP_DUR_HEALTH_sum,APP_DUR_HEALTH_count,FitbitStepcount_sum,Fitbitcalorie_sum,Fitbitdistance_sum,ACT#count_ON_BICYCLE,ACT#count_STILL,ACT#count_WALKING,ACT#dur_ON_BICYCLE,ACT#dur_STILL,ACT#dur_WALKING,ACT#count_IN_VEHICLE,ACT#dur_IN_VEHICLE,ACT#count_RUNNING,ACT#dur_RUNNING,MSG_SNT#CNT,MSG_RCV#CNT,MSG#CNT,CALL#CNT,CALL#DUR,next_hour_binary_personal,stress_binary_personal,window_start_time,sleep_duration_sec,sleep_duration_hr,sleep_onset_hour,sleep_midpoint_hour
P001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8408203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-12-08 18:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.116666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.10077667236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2020-12-08 19:00:00,,,,
P001,3.0,3.65,32.03333333333333,10.25,0.0,0.0,0.0,0.0,407.93801,8.0,985.249964,53.0,3276.5699859999995,80.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.9271975336332516,60.0,25.0,24.0,80.0,2977.0,261.0,261.0,0.0589989999999999,2.0,0.0,0.0,0.0,0.0,1668.0,223.1220703125,1864.9078369140625,0.0,2.0,5.0,0.0,4.0,12.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-12-09 09:00:00,20813.195,5.781443055555555,3.066666666666667,5.95
P001,3.0,1.85,0.0,5.716666666666667,47.15,0.0,0.0,0.0,0.120999,1.0,605.384968,70.0,3136.792883,102.0,0.0,155.0,0.0,155.0,0.0,155.0,0.0,155.0,0.0,155.0,0.0,155.0,0.0,155.0,0.0,155.0,0.0,155.0,0.0,155.0,0.0,155.0,0.0,155.0,0.8792616825600785,76.0,26.0,27.0,102.0,3019.0,168.0,390.0,471.804986,4.0,0.0,0.0,0.0,0.0,1189.0,231.6325225830078,1328.3525390625,0.0,2.0,1.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2020-12-09 10:00:00,20813.195,5.781443055555555,3.066666666666667,5.95
P001,1.0,0.0,0.0,0.0,56.516666666666666,0.0,0.0,0.0,0.0,0.0,7.206993,10.0,2108.286988,30.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.0,53.0,0.9847890975501834,33.0,12.0,11.0,30.0,2615.0,91.0,420.0,1714.844013,4.0,0.0,0.0,0.0,0.0,368.0,165.39894104003906,410.0608520507813,0.0,2.0,0.0,0.0,12.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-12-09 11:00:00,20813.195,5.781443055555555,3.066666666666667,5.95
P001,1.0,0.0,0.0,0.0,58.95,0.0,0.0,0.0,0.0,0.0,1741.475996,13.0,3001.492993,23.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,37.0,0.9255365868835534,20.0,7.0,7.0,23.0,2705.0,23.0,71.0,412.947006,2.0,0.0,0.0,0.0,0.0,652.0,182.66653442382807,727.4234619140625,0.0,4.0,4.0,0.0,7.0,6.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-09 12:00:00,20813.195,5.781443055555555,3.066666666666667,5.95
P001,4.0,2.6333333333333333,1.6166666666666667,3.5166666666666666,14.5,0.0,0.0,0.0,0.0,0.0,1015.654996,24.0,1943.818992,51.0,0.0,79.0,0.0,79.0,0.0,79.0,0.0,79.0,0.0,79.0,0.0,79.0,0.0,79.0,0.0,79.0,0.0,79.0,0.0,79.0,0.0,79.0,0.0,79.0,0.8958185803383145,43.0,14.0,14.0,51.0,1374.0,69.0,219.0,808.307006,1.0,0.0,0.0,0.0,0.0,1253.0,181.6798095703125,1400.9339599609375,0.0,2.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-09 13:00:00,20813.195,5.781443055555555,3.066666666666667,5.95
P001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,80.1709976196289,21.082406997680664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-12-09 14:00:00,20813.195,5.781443055555555,3.066666666666667,5.95
P001,4.0,7.55,5.566666666666666,4.583333333333333,0.0,0.0,0.0,0.0,171.633994,2.0,418.658978,25.0,1477.4659370000004,95.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.7391387099725726,53.0,16.0,16.0,95.0,1154.0,27.0,1012.0,239.09599,20.0,0.0,0.0,0.0,0.0,1792.0,208.4445953369141,2003.7943115234373,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-12-09 15:00:00,20813.195,5.781443055555555,3.066666666666667,5.95
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.024998,2.0,61.612906,201.0,1534.2628619999998,258.0,0.0,277.0,0.0,277.0,0.0,277.0,0.0,277.0,0.0,277.0,0.0,277.0,0.0,277.0,0.0,277.0,0.0,277.0,0.0,277.0,0.0,277.0,0.0,277.0,0.2974310620149785,25.0,9.0,10.0,258.0,1043.0,38.0,2073.0,0.3339959999999999,8.0,0.059999,2.0,0.0,0.0,116.0,98.67200469970705,129.06939697265625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-09 16:00:00,20813.195,5.781443055555555,3.066666666666667,5.95
